,faceoffWinPct,gamesPlayed,goalsAgainst,goalsAgainstPerGame,goalsFor,goalsForPerGame,losses,otLosses,penaltyKillNetPct,penaltyKillPct,pointPct,points,powerPlayNetPct,powerPlayPct,regulationAndOtWins,seasonId,shotsAgainstPerGame,shotsForPerGame,teamFullName,teamId,ties,wins,winsInRegulation,winsInShootout,faceoffWinPctRS,gamesPlayedRS,goalsAgainstRS,goalsAgainstPerGameRS,goalsForRS,goalsForPerGameRS,lossesRS,otLossesRS,penaltyKillNetPctRS,penaltyKillPctRS,pointPctRS,pointsRS,powerPlayNetPctRS,powerPlayPctRS,regulationAndOtWinsRS,shotsAgainstPerGameRS,shotsForPerGameRS,tiesRS,winsRS,winsInRegulationRS,winsInShootoutRS,playoffScore,last3PlayoffScore,last5PlayoffScore,winRateAgainst500Teams
48,0.486875,23,43,1.86956,60,2.60869,7,,0.881578,0.855264,0.69565,32,0.18,0.21,16,20032004,26.7826,26.17391,Tampa Bay Lightning,14,,16,13,0,0.499903,82,192,2.34146,245,2.9878,22,6,0.902877,0.848921,0.64634,106,0.150442,0.162241,46,25.42682,30.0,8.0,46,42,0,1.0,0.3125,0.3125,0.13414634146341464
49,0.514925,7,19,2.71428,16,2.28571,4,,0.85,0.85,0.42857,6,0.179487,0.205128,3,20032004,29.14285,29.42857,Vancouver Canucks,23,,3,2,0,0.512022,82,194,2.36585,235,2.86585,24,5,0.873949,0.859944,0.61585,101,0.128342,0.149732,43,26.62195,29.01219,10.0,43,32,0,0.1875,0.5625,0.5625,0.12195121951219512
50,0.510574,5,12,2.4,5,1.0,4,,0.913043,0.913044,0.2,2,0.0625,0.125,1,20032004,24.2,28.4,New York Islanders,2,,1,1,0,0.493158,82,210,2.56097,237,2.89024,29,4,0.885793,0.855154,0.55487,91,0.151702,0.167182,38,27.36585,28.54878,11.0,38,36,0,0.0625,0.25,0.25,0.15853658536585366
51,0.509615,13,28,2.15384,27,2.07692,7,,0.896551,0.896552,0.46153,12,0.084745,0.101694,6,20032004,30.0,23.92307,Toronto Maple Leafs,10,,6,6,0,0.521351,82,204,2.4878,242,2.95121,24,3,0.854922,0.834197,0.62804,103,0.179624,0.201072,45,26.42682,27.4756,10.0,45,41,0,0.375,1.25,1.25,0.13414634146341464
52,0.511052,18,43,2.38888,50,2.77777,7,,0.84507,0.802817,0.61111,22,0.131147,0.131147,11,20032004,28.22222,26.77777,Philadelphia Flyers,4,,11,9,0,0.502853,82,186,2.26829,229,2.79268,21,6,0.853448,0.833334,0.61585,101,0.197452,0.207006,40,25.51219,29.40243,15.0,40,38,0,0.6875,0.5625,0.5625,0.0975609756097561
53,0.497907,7,14,2.0,11,1.57142,4,,0.875,0.875,0.42857,6,0.085714,0.085714,3,20032004,22.0,34.0,Ottawa Senators,9,,3,2,0,0.470544,82,189,2.30487,262,3.19512,23,6,0.853025,0.835735,0.62195,102,0.19407,0.215633,43,24.87804,29.52439,10.0,43,40,0,0.1875,1.125,1.125,0.13414634146341464
54,0.460413,17,32,1.88235,38,2.23529,7,,0.930555,0.916667,0.58823,20,0.098765,0.135802,10,20032004,27.23529,24.41176,San Jose Sharks,28,,10,9,0,0.484536,82,183,2.2317,219,2.67073,21,6,0.880877,0.852665,0.63414,104,0.139465,0.166172,43,28.93902,28.04878,12.0,43,40,0,0.625,0.5625,0.5625,0.08536585365853659
55,0.544386,11,24,2.18181,26,2.36363,5,,0.851063,0.808511,0.54545,12,0.1875,0.1875,6,20032004,27.54545,25.90909,Colorado Avalanche,21,,6,3,0,0.500092,82,198,2.41463,236,2.87804,22,7,0.857142,0.837536,0.60975,100,0.165289,0.203856,40,28.35365,29.40243,13.0,40,32,0,0.375,1.875,1.875,0.12195121951219512
56,0.483805,26,53,2.03846,60,2.30769,11,,0.851239,0.826447,0.57692,30,0.138888,0.138888,15,20032004,27.5,26.84615,Calgary Flames,20,,15,10,0,0.506849,82,176,2.14634,200,2.43902,30,3,0.878612,0.846821,0.57317,94,0.145658,0.15126,42,25.4878,27.41463,7.0,42,39,0,0.9375,0.0,0.0,0.0975609756097561
57,0.481481,7,19,2.71428,14,2.0,4,,0.9,0.9,0.42857,6,0.08,0.08,3,20032004,30.42857,32.14285,Boston Bruins,6,,3,1,0,0.521359,82,188,2.29268,209,2.54878,19,7,0.856716,0.835821,0.63414,104,0.116666,0.16,41,27.80487,30.4878,15.0,41,33,0,0.1875,0.1875,0.1875,0.15853658536585366
58,0.481182,5,19,3.8,10,2.0,4,,0.714285,0.714286,0.2,2,0.090909,0.181818,1,20032004,24.0,31.2,Dallas Stars,25,,1,0,0,0.514053,82,175,2.13414,194,2.36585,26,2,0.874598,0.858521,0.59146,97,0.125,0.158536,41,23.19512,26.78048,13.0,41,38,0,0.0625,0.625,0.625,0.15853658536585366
59,0.520958,5,12,2.4,9,1.8,4,,0.967741,0.903226,0.2,2,0.0,0.045454,1,20032004,23.4,25.6,St. Louis Blues,19,,1,1,0,0.499331,82,198,2.41463,191,2.32926,30,2,0.864498,0.845529,0.55487,91,0.146627,0.178885,39,25.64634,27.10975,11.0,39,28,0,0.0625,1.0625,1.0625,0.0975609756097561
60,0.575087,12,20,1.66666,24,2.0,6,,0.98,0.96,0.5,12,0.076923,0.096153,6,20032004,23.41666,32.08333,Detroit Red Wings,17,,6,6,0,0.525385,82,189,2.30487,255,3.10975,21,2,0.914826,0.867508,0.66463,109,0.184713,0.200636,48,26.2317,30.29268,11.0,48,41,0,0.375,1.125,1.125,0.12195121951219512
61,0.485245,5,14,2.8,9,1.8,4,,0.666666,0.666667,0.2,2,0.166666,0.166666,1,20032004,26.8,31.0,New Jersey Devils,1,,1,1,0,0.492066,82,164,2.0,213,2.59756,25,2,0.883458,0.853384,0.60975,100,0.147435,0.163461,43,24.40243,29.67073,12.0,43,36,0,0.0625,2.0625,2.0625,0.0975609756097561
62,0.532951,11,28,2.54545,24,2.18181,7,,0.880952,0.880953,0.36363,8,0.1,0.125,4,20032004,30.90909,29.0909,Montréal Canadiens,8,,4,4,0,0.516513,82,192,2.34146,208,2.53658,30,4,0.840764,0.824841,0.56707,93,0.153605,0.172413,41,28.58536,27.68292,7.0,41,36,0,0.25,0.375,0.375,0.13414634146341464
63,0.401459,6,12,2.0,9,1.5,4,,0.965517,0.931035,0.33333,4,0.0,0.034482,2,20032004,32.83333,21.33333,Nashville Predators,18,,2,2,0,0.488548,82,217,2.64634,216,2.63414,29,4,0.857549,0.817664,0.55487,91,0.150234,0.169014,38,28.4756,27.15853,11.0,38,31,0,0.125,0.0,0.0,0.0975609756097561
64,0.585987,5,17,3.4,10,2.0,4,,0.783783,0.756757,0.2,2,0.1875,0.1875,1,20052006,34.2,27.4,Nashville Predators,18,,1,1,0,0.538446,82,224,2.7317,253,3.08536,25,8,0.868667,0.846154,0.64634,106,0.158203,0.183593,43,32.46341,29.02439,,49,40,6,0.0625,0.125,0.125,0.2682926829268293
65,0.502564,6,27,4.5,14,2.33333,4,,0.853658,0.829269,0.33333,4,0.034482,0.103448,2,20052006,34.16666,26.66666,Philadelphia Flyers,4,,2,2,0,0.494708,82,253,3.08536,263,3.20731,26,11,0.832258,0.791398,0.61585,101,0.166666,0.18018,41,28.92682,31.12195,,45,34,4,0.125,1.0625,1.25,0.23170731707317074
66,0.497512,4,17,4.25,4,1.0,4,,0.703703,0.703704,0.0,0,-0.047619,0.095238,0,20052006,26.0,28.5,New York Rangers,3,,0,0,0,0.47482,82,211,2.57317,250,3.04878,26,12,0.845679,0.837449,0.60975,100,0.168181,0.188636,37,28.75609,29.85365,,44,33,7,0.0,0.0,0.0,0.2804878048780488
67,0.539772,6,15,2.5,17,2.83333,4,,0.8,0.8,0.33333,4,0.222222,0.222222,2,20052006,35.33333,27.83333,Montréal Canadiens,8,,2,1,0,0.493333,82,244,2.9756,241,2.93902,31,9,0.8316,0.810811,0.56707,93,0.179265,0.192224,40,30.57317,30.12195,,42,33,2,0.125,0.25,0.625,0.3048780487804878
