,faceoffWinPct,gamesPlayed,goalsAgainst,goalsAgainstPerGame,goalsFor,goalsForPerGame,losses,otLosses,penaltyKillNetPct,penaltyKillPct,pointPct,points,powerPlayNetPct,powerPlayPct,regulationAndOtWins,seasonId,shotsAgainstPerGame,shotsForPerGame,teamFullName,teamId,ties,wins,winsInRegulation,winsInShootout,playoffScore,last5PlayoffScore,winRateAgainst500Teams
232,0.503052,27,82,3.03703,77,2.85185,12,,0.815533,0.796117,0.55555,30,0.188235,0.223529,14,20192020,33.29629,29.74074,Dallas Stars,25,,15,9,1,0.9375,0.875,0.30434782608695654
338,0.488721,9,30,3.33333,27,3.0,5,,0.814814,0.777778,0.44444,8,0.133333,0.166666,4,20192020,36.0,27.22222,Chicago Blackhawks,16,,4,4,0,0.25,1.1875,0.21428571428571427
208,0.530759,13,39,3.0,29,2.23076,8,,0.853658,0.829269,0.38461,10,0.2,0.222222,5,20192020,29.61538,32.61538,Boston Bruins,6,,5,4,0,0.3125,1.375,0.32857142857142857
367,0.486312,10,27,2.7,33,3.3,5,,0.921052,0.81579,0.5,10,0.257142,0.285714,5,20192020,32.5,31.4,Calgary Flames,20,,5,5,0,0.3125,0.375,0.2
233,0.420704,8,23,2.875,13,1.625,5,,0.933333,0.933334,0.3125,5,0.142857,0.178571,2,20192020,27.0,24.875,Washington Capitals,15,,2,2,0,0.125,2.4375,0.3333333333333333
12,0.461409,10,19,1.9,23,2.3,5,,0.866666,0.844445,0.5,10,0.151515,0.151515,5,20192020,28.3,29.3,Montréal Canadiens,8,,5,4,0,0.3125,0.5,0.28169014084507044
62,0.489626,8,19,2.375,22,2.75,4,,0.878787,0.818182,0.5,8,0.068965,0.137931,4,20192020,32.75,28.625,Carolina Hurricanes,12,,4,4,0,0.25,0.5,0.2647058823529412
323,0.55709,17,45,2.64705,48,2.82352,7,,0.830769,0.8,0.58823,20,0.188405,0.202898,10,20192020,36.70588,26.52941,Vancouver Canucks,23,,10,8,0,0.625,0.125,0.2318840579710145
52,0.57085,4,14,3.5,11,2.75,3,,0.833333,0.833334,0.25,2,0.214285,0.285714,1,20192020,31.25,40.75,Nashville Predators,18,,1,1,0,0.0625,2.0,0.2753623188405797
373,0.501621,15,41,2.73333,60,4.0,5,,0.75,0.75,0.63333,19,0.220588,0.220588,9,20192020,27.53333,36.46666,Colorado Avalanche,21,,9,9,0,0.5625,0.5625,0.2571428571428571
54,0.545064,4,13,3.25,7,1.75,3,,0.75,0.75,0.25,2,0.285714,0.285714,1,20192020,30.5,25.75,Florida Panthers,13,,1,1,0,0.0625,0.125,0.21739130434782608
138,0.498316,5,12,2.4,10,2.0,3,,1.071428,1.0,0.4,4,0.153846,0.153846,2,20192020,31.8,37.8,Toronto Maple Leafs,10,,2,1,0,0.125,0.5,0.22857142857142856
74,0.497688,22,51,2.31818,66,3.0,9,,0.833333,0.818182,0.5909,26,0.153846,0.153846,13,20192020,29.27272,29.95454,New York Islanders,2,,13,11,0,0.8125,0.75,0.2647058823529412
279,0.451082,20,44,2.2,57,2.85,8,,0.870967,0.854839,0.6,24,0.166666,0.181818,12,20192020,24.45,36.15,Vegas Golden Knights,54,,12,10,0,0.75,1.0,0.23943661971830985
85,0.517367,9,31,3.44444,22,2.44444,6,,0.743589,0.74359,0.27777,5,0.125,0.1875,2,20192020,31.11111,33.33333,St. Louis Blues,19,,2,1,0,0.125,2.125,0.323943661971831
121,0.45,4,12,3.0,10,2.5,3,,0.842105,0.789474,0.25,2,0.136363,0.136363,1,20192020,29.0,30.5,Minnesota Wild,30,,1,1,0,0.0625,0.5,0.2318840579710145
79,0.506122,4,10,2.5,8,2.0,3,,1.0,1.0,0.25,2,0.17647,0.17647,1,20192020,28.75,33.5,Pittsburgh Penguins,5,,1,1,0,0.0625,2.4375,0.2608695652173913
18,0.45772,9,33,3.66666,22,2.44444,5,,0.705882,0.676471,0.44444,8,0.111111,0.111111,4,20192020,38.66666,25.88888,Arizona Coyotes,53,,4,3,0,0.25,0.0,0.22857142857142856
358,0.545454,16,40,2.5,38,2.375,6,,0.807692,0.807693,0.625,20,0.057692,0.076923,10,20192020,30.625,27.0625,Philadelphia Flyers,4,,10,7,0,0.625,0.25,0.2753623188405797
29,0.539682,4,16,4.0,6,1.5,3,,0.705882,0.705883,0.25,2,0.058823,0.117647,1,20192020,32.25,27.5,Winnipeg Jets,52,,1,1,0,0.0625,0.6875,0.23943661971830985
129,0.527777,4,16,4.0,15,3.75,3,,0.777777,0.777778,0.25,2,0.294117,0.294117,1,20192020,30.5,34.25,Edmonton Oilers,22,,1,1,0,0.0625,0.4375,0.2535211267605634
273,0.517027,10,24,2.4,24,2.4,6,,0.913043,0.913044,0.4,8,0.058823,0.088235,4,20192020,39.5,33.1,Columbus Blue Jackets,29,,4,3,0,0.25,0.5625,0.24285714285714285
111,0.484316,25,57,2.28,77,3.08,7,,0.860465,0.860466,0.72,36,0.213333,0.226666,17,20192020,29.68,35.16,Tampa Bay Lightning,14,,18,11,1,1.125,2.25,0.2571428571428571
132,0.472222,3,11,3.66666,4,1.33333,3,,0.928571,0.857143,0.0,0,0.0,0.071428,0,20192020,34.0,29.33333,New York Rangers,3,,0,0,0,0.0,1.125,0.2571428571428571
105,0.458083,5,16,3.2,10,2.0,4,,0.736842,0.736843,0.2,2,0.142857,0.142857,1,20202021,34.6,33.8,Washington Capitals,15,,1,0,0,0.0625,2.125,0.21428571428571427
38,0.532258,8,22,2.75,20,2.5,4,,0.833333,0.791667,0.5,8,0.0,0.166666,4,20202021,36.375,30.125,Winnipeg Jets,52,,4,1,0,0.25,0.75,0.10714285714285714
108,0.476595,4,20,5.0,7,1.75,4,,0.583333,0.5,0.0,0,0.111111,0.222222,0,20202021,36.25,27.5,St. Louis Blues,19,,0,0,0,0.0,2.125,0.19642857142857142
211,0.523238,11,32,2.90909,33,3.0,5,,0.756756,0.756757,0.54545,12,0.363636,0.363636,6,20202021,31.0,35.81818,Boston Bruins,6,,6,3,0,0.375,1.6875,0.21428571428571427
221,0.475362,6,21,3.5,16,2.66666,4,,0.875,0.8125,0.33333,4,0.25,0.25,2,20202021,31.16666,38.5,Pittsburgh Penguins,5,,2,2,0,0.125,2.4375,0.26785714285714285
344,0.483296,6,22,3.66666,16,2.66666,4,,0.789473,0.789474,0.33333,4,0.115384,0.115384,2,20202021,42.33333,34.16666,Nashville Predators,18,,2,0,0,0.125,1.9375,0.125
170,0.505882,7,14,2.0,18,2.57142,4,,0.842105,0.842106,0.42857,6,0.086956,0.130434,3,20202021,28.28571,33.71428,Toronto Maple Leafs,10,,3,3,0,0.1875,0.625,0.21428571428571427
215,0.52011,11,30,2.72727,31,2.81818,6,,0.761904,0.761905,0.45454,10,0.181818,0.181818,5,20202021,30.72727,36.81818,Carolina Hurricanes,12,,5,2,0,0.3125,0.75,0.2857142857142857
210,0.510752,6,24,4.0,17,2.83333,4,,0.6,0.6,0.33333,4,0.227272,0.272727,2,20202021,31.16666,37.83333,Florida Panthers,13,,2,1,0,0.125,0.1875,0.21428571428571427
95,0.454198,4,14,3.5,8,2.0,4,,0.7,0.7,0.0,0,0.181818,0.181818,0,20202021,34.5,39.75,Edmonton Oilers,22,,0,0,0,0.0,0.5,0.17857142857142858
124,0.481245,23,45,1.95652,75,3.26086,7,,0.873015,0.84127,0.69565,32,0.323529,0.323529,16,20202021,30.43478,29.56521,Tampa Bay Lightning,14,,16,16,0,1.0,2.5,0.23214285714285715
307,0.518298,19,53,2.78947,54,2.8421,8,,0.651162,0.651163,0.57894,22,0.163265,0.204081,11,20202021,35.15789,28.47368,New York Islanders,2,,11,7,0,0.6875,1.375,0.16071428571428573
329,0.535159,19,46,2.42105,53,2.78947,9,,0.743589,0.717949,0.52631,20,0.093023,0.093023,10,20202021,26.42105,32.10526,Vegas Golden Knights,54,,10,8,0,0.625,1.75,0.125
220,0.500891,10,27,2.7,38,3.8,4,,0.863636,0.818182,0.6,12,0.37931,0.413793,6,20202021,30.2,30.8,Colorado Avalanche,21,,6,5,0,0.375,1.125,0.16071428571428573
181,0.49419,22,54,2.45454,51,2.31818,9,,0.983606,0.918033,0.5909,26,0.169811,0.188679,13,20202021,30.72727,28.86363,Montréal Canadiens,8,,13,7,0,0.8125,0.4375,0.19642857142857142
342,0.423728,7,20,2.85714,13,1.85714,4,,0.866666,0.866667,0.42857,6,0.090909,0.181818,3,20202021,32.14285,24.85714,Minnesota Wild,30,,3,2,0,0.1875,0.3125,0.14285714285714285
340,0.514792,12,38,3.16666,40,3.33333,6,,0.81081,0.810811,0.5,12,0.307692,0.307692,6,20212022,34.0,28.83333,St. Louis Blues,19,,6,5,0,0.375,1.5,0.2926829268292683
43,0.493392,7,27,3.85714,17,2.42857,4,,0.631578,0.631579,0.42857,6,0.041666,0.125,3,20212022,35.57142,37.28571,Los Angeles Kings,26,,3,2,0,0.1875,0.0,0.1951219512195122
345,0.482248,6,22,3.66666,16,2.66666,4,,0.692307,0.692308,0.33333,4,0.166666,0.166666,2,20212022,31.33333,31.0,Minnesota Wild,30,,2,2,0,0.125,0.375,0.2804878048780488
